id,organization_id,url,type,species,breeds_primary,breeds_secondary,breeds_mixed,breeds_unknown,colors_primary,colors_secondary,colors_tertiary,age,gender,size,coat,spayed_neutered,house_trained,declawed,special_needs,shots_current,environment_children,environment_dogs,environment_cats,tag1,tag2,tag3,tag4,tag5,name,description,photos_small,photos_medium,photos_large,photos_full,status,published_at,contact_email,contact_phone,contact_address1,contact_address2,contact_address_city,contact_address_state,contact_address_postcode,country,links
44527301,MS51,https://www.petfinder.com/dog/fancy-44527301/ms/nesbit/desoto-county-animal-shelter-ms51/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Beagle,null,FALSE,FALSE,"Tricolor (Brown, Black, & White)",null,null,Adult,Female,Small,Short,FALSE,FALSE,null,TRUE,TRUE,null,null,null,,,,,,Fancy,"Fancy is a 6 year old female beagle mix. She is not shy at all, Fancy wants to run all...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527301/5/?bust=1556047887&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527301/5/?bust=1556047887&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527301/5/?bust=1556047887&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527301/5/?bust=1556047887,adoptable,2019-04-23T19:33:15+0000,msparks@desotocountyms.gov,662-469-8004,1251 Humane Way,null,Nesbit,MS,38651,US,/v2/animals/44527301
44527299,NC11,https://www.petfinder.com/dog/ginger-44527299/nc/morganton/friends-for-animals-humane-society-of-burke-county-nc11/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Beagle,Labrador Retriever,TRUE,FALSE,Brown / Chocolate,White / Cream,null,Adult,Female,Medium,null,FALSE,FALSE,null,FALSE,FALSE,null,null,null,,,,,,Ginger,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527299/1/?bust=1556047972&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527299/1/?bust=1556047972&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527299/1/?bust=1556047972&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527299/1/?bust=1556047972,adoptable,2019-04-23T19:33:01+0000,bcffa1@gmail.com,828-433-1115 ,PO Box 1884,Adoption Center at 417 Kirksey Drive,Morganton,NC,28655,US,/v2/animals/44527299
44527285,TN653,https://www.petfinder.com/dog/cleve-44527285/ct/barkhamsted/friends-of-gibson-county-animals-tn653/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,null,TRUE,FALSE,Black,White / Cream,null,Baby,Male,Large,Medium,TRUE,FALSE,null,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,CLEVE,"Cleve is such an adorable little boy and a total love bug to boot! He is super sweet, loveable and...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527285/1/?bust=1556047621&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527285/1/?bust=1556047621&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527285/1/?bust=1556047621&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527285/1/?bust=1556047621,adoptable,2019-04-23T19:32:34+0000,fogcarescue@gmail.com,null,null,null,Barkhamsted,CT,6063,US,/v2/animals/44527285
44527236,WV106,https://www.petfinder.com/dog/cookie-44527236/wv/beechbottom/brooke-county-animal-shelter-wv106/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Terrier,null,TRUE,FALSE,Black,White / Cream,null,Adult,Female,Small,Wire,FALSE,FALSE,null,FALSE,TRUE,null,TRUE,TRUE,,,,,,COOKIE,"Everyone has a favorite cookie,  and we would like you to meet ours!  Cookie is a warm, sweet Terrier/mix who...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527236/3/?bust=1556047918&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527236/3/?bust=1556047918&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527236/3/?bust=1556047918&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527236/3/?bust=1556047918,adoptable,2019-04-23T19:32:33+0000,animalshelterbc@yahoo.com,304-394-0800   ,797 Mac Barnes Dr,null,Beechbottom,WV,26030,US,/v2/animals/44527236
44527300,KY56,https://www.petfinder.com/dog/simon-44527300/ky/glasgow/barren-river-animal-welfare-association-ky56/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Australian Cattle Dog / Blue Heeler,Australian Shepherd,TRUE,FALSE,White / Cream,Yellow / Tan / Blond / Fawn,null,Baby,Male,Large,Medium,TRUE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Simon,"Simon was turned in as a stray on 4/18 along with his brother, Sam. He is about 9 weeks old...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527300/1/?bust=1556047830&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527300/1/?bust=1556047830&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527300/1/?bust=1556047830&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527300/1/?bust=1556047830,adoptable,2019-04-23T19:32:14+0000,syobymevol@scrtc.com,(270) 651-7297 ,175 Trojan Trail,P.O. Box 171,Glasgow,KY,42141,US,/v2/animals/44527300
44527302,AL184,https://www.petfinder.com/dog/cutie-44527302/al/decatur/decatur-animal-services-al184/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Pointer,null,TRUE,FALSE,Brown / Chocolate,White / Cream,null,Baby,Female,Medium,Short,FALSE,FALSE,null,FALSE,TRUE,TRUE,TRUE,null,,,,,,Cutie,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527302/1/?bust=1556047875&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527302/1/?bust=1556047875&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527302/1/?bust=1556047875&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527302/1/?bust=1556047875,adoptable,2019-04-23T19:31:30+0000,Animaladoptions@decatur-al.gov,(256) 341-4790,300A Beltline Rd SW,null,Decatur,AL,35601,US,/v2/animals/44527302
44527284,NY963,https://www.petfinder.com/dog/phoebe-44527284/ny/new-hyde-park/heart-rescue-group-inc-ny963/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Chow Chow,null,TRUE,FALSE,Yellow / Tan / Blond / Fawn,null,null,Baby,Female,Medium,Medium,FALSE,FALSE,null,FALSE,TRUE,TRUE,TRUE,null,,,,,,Phoebe,"Meet Phoebe! Born on March 1st, 2019, she will be available for adoption in another 3 weeks.  we are accepting...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527284/1/?bust=1556047612&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527284/1/?bust=1556047612&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527284/1/?bust=1556047612&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527284/1/?bust=1556047612,adoptable,2019-04-23T19:30:41+0000,troman0218@hotmail.com,917 751-5039,P.O. Box 1098,null,New Hyde Park,NY,11040,US,/v2/animals/44527284
44527274,MS51,https://www.petfinder.com/dog/errol-44527274/ms/nesbit/desoto-county-animal-shelter-ms51/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,null,TRUE,FALSE,Black,Brindle,null,Adult,Male,Medium,Short,TRUE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Errol,"Errol is a 6 year old male lab mix. Friendly, plays well with other dogs, hyperactive. Errol is very strong...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527274/1/?bust=1556047604&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527274/1/?bust=1556047604&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527274/1/?bust=1556047604&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527274/1/?bust=1556047604,adoptable,2019-04-23T19:29:54+0000,msparks@desotocountyms.gov,662-469-8004,1251 Humane Way,null,Nesbit,MS,38651,US,/v2/animals/44527274
44527292,PA218,https://www.petfinder.com/dog/diego-44527292/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Terrier,null,FALSE,FALSE,Black,null,null,Baby,Male,Medium,Short,FALSE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Diego,Hellooo!!! I'm Diego! I'm always on the go! I love to play and run and jump and love up on...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527292/1/?bust=1556047745&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527292/1/?bust=1556047745&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527292/1/?bust=1556047745&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527292/1/?bust=1556047745,adoptable,2019-04-23T19:29:34+0000,clearfieldcountyspca@gmail.com,(814) 765-2220,275 21st Street,null,Clearfield,PA,16830,US,/v2/animals/44527292
44527239,GA250,https://www.petfinder.com/dog/kermit-44527239/ga/atlanta/priceless-pets-atlanta-ga250/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Shih Tzu,null,FALSE,FALSE,Bicolor,Brown / Chocolate,White / Cream,Adult,Male,Small,Long,TRUE,TRUE,null,FALSE,TRUE,TRUE,TRUE,null,,,,,,Kermit,Kermit is an adorable and sweet 8 pound 1 year old purebred Shih Tzu.  He was given up by an...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527239/1/?bust=1556046889&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527239/1/?bust=1556046889&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527239/1/?bust=1556046889&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527239/1/?bust=1556046889,adoptable,2019-04-23T19:28:56+0000,pricelesspets4u@gmail.com,770-351-7377,2451 Cumberland Pdwy.,Suite 3263,Atlanta,GA,30339,US,/v2/animals/44527239
44527288,LA388,https://www.petfinder.com/dog/conor-44527288/la/houma/b-and-l-bullies-and-broken-hearts-rescue-la388/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Pit Bull Terrier,null,FALSE,FALSE,Black,White / Cream,null,Young,Male,Large,Short,TRUE,TRUE,null,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,Conor,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527288/1/?bust=1556047691&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527288/1/?bust=1556047691&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527288/1/?bust=1556047691&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527288/1/?bust=1556047691,adoptable,2019-04-23T19:28:40+0000,bulliesandbrokenhearts@gmail.com,null,null,null,Houma,LA,70364,US,/v2/animals/44527288
44527286,PA218,https://www.petfinder.com/dog/jeffy-44527286/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Rottweiler,Basset Hound,TRUE,FALSE,Black,Yellow / Tan / Blond / Fawn,null,Young,Male,Medium,null,FALSE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Jeffy,I'm Jeffy. I'm quite shy at first and don't really like new surroundings. I do like to go on short...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527286/1/?bust=1556047662&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527286/1/?bust=1556047662&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527286/1/?bust=1556047662&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527286/1/?bust=1556047662,adoptable,2019-04-23T19:28:18+0000,clearfieldcountyspca@gmail.com,(814) 765-2220,275 21st Street,null,Clearfield,PA,16830,US,/v2/animals/44527286
44527283,NC11,https://www.petfinder.com/dog/damion-44527283/nc/morganton/friends-for-animals-humane-society-of-burke-county-nc11/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Standard Schnauzer,null,FALSE,FALSE,Black,Gray / Blue / Silver,null,Adult,Male,Large,null,FALSE,FALSE,null,FALSE,FALSE,null,null,null,,,,,,Damion,null,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527283/1/?bust=1556047663&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527283/1/?bust=1556047663&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527283/1/?bust=1556047663&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527283/1/?bust=1556047663,adoptable,2019-04-23T19:27:53+0000,bcffa1@gmail.com,828-433-1115 ,PO Box 1884,Adoption Center at 417 Kirksey Drive,Morganton,NC,28655,US,/v2/animals/44527283
44527277,OH315,https://www.petfinder.com/dog/andrea-44527277/oh/wilmington/wilmington-area-humane-society-inc-oh315/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,null,TRUE,FALSE,null,null,null,Adult,Female,Large,Short,TRUE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Andrea,Andrea is a friendly black lab mix that weighs 66 pounds and has an est. date of birth of April...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527277/2/?bust=1556047569&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527277/2/?bust=1556047569&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527277/2/?bust=1556047569&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527277/2/?bust=1556047569,adoptable,2019-04-23T19:27:40+0000,wahspets@yahoo.com,(877) 802-1633,5312 U.S. 68 North,null,Wilmington,OH,45177,US,/v2/animals/44527277
44527247,VA583,https://www.petfinder.com/dog/pacino-44527247/va/midlothian/sanctuary-rescue-va583/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Labrador Retriever,Pointer,TRUE,FALSE,Black,null,null,Adult,Male,Medium,Short,TRUE,TRUE,null,FALSE,TRUE,TRUE,TRUE,null,loving,playful,active,,,Pacino,Hello! Thank you for checking out Pacino's listing! Please note that we are unable to receive any emails that are...,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527247/1/?bust=1556047027&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527247/1/?bust=1556047027&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527247/1/?bust=1556047027&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527247/1/?bust=1556047027,adoptable,2019-04-23T19:27:30+0000,sanctuaryrescuepetfinder@gmail.com,null,null,null,Midlothian,VA,23112,US,/v2/animals/44527247
44527271,PA218,https://www.petfinder.com/dog/howie-44527271/pa/clearfield/clearfield-county-spca-pa218/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Beagle,null,TRUE,FALSE,Red / Chestnut / Orange,White / Cream,null,Adult,Male,Medium,null,FALSE,FALSE,null,FALSE,TRUE,null,null,null,,,,,,Howie,"Hey there! I'm Howie! You may have noticed my impressive borking skills! It leaves you rather speechless, doesn't it!? Well,...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527271/1/?bust=1556047360&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527271/1/?bust=1556047360&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527271/1/?bust=1556047360&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527271/1/?bust=1556047360,adoptable,2019-04-23T19:25:51+0000,clearfieldcountyspca@gmail.com,(814) 765-2220,275 21st Street,null,Clearfield,PA,16830,US,/v2/animals/44527271
44527263,TN653,https://www.petfinder.com/dog/zoey-44527263/ct/barkhamsted/friends-of-gibson-county-animals-tn653/?referrer_id=ebce6392-7b48-4be5-a7b7-3babd1647d97,Dog,Dog,Australian Shepherd,null,TRUE,FALSE,Black,null,null,Baby,Female,Medium,Medium,TRUE,FALSE,null,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,ZOEY,"Oh my, this is the cutest little girl that I’ve fostered in a long time! You’ll just want to pick...",https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527263/1/?bust=1556047251&width=100,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527263/1/?bust=1556047251&width=300,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527263/1/?bust=1556047251&width=600,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44527263/1/?bust=1556047251,adoptable,2019-04-23T19:25:14+0000,fogcarescue@gmail.com,null,null,null,Barkhamsted,CT,6063,US,/v2/animals/44527263
